id,name,artist,album,release_date,year
5duCElafuovM4ZSmkQL4hn,"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)",Mustard,"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)",2019-05-10,2019
2jRmKc69qzGKzGU9SdH5u7,el Diablo,mgk,Hotel Diablo,2019-07-05,2019
59AziPyNm2kHqyd9lH9cSr,Sick and Tired (feat. Machine Gun Kelly & Travis Barker),iann dior,I'm Gone,2020-06-12,2020
7x9nXsowok1JszkVztI5NI,Writing on the Wall (feat. Post Malone & Cardi B),French Montana,Writing on the Wall (feat. Post Malone & Cardi B),2019-09-27,2019
0OI7AFifLSoGzpb8bdBLLV,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",mgk,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]",2017-11-18,2017
3lPdq0lvKPNzd2vF2Z08i0,Aku Sayang X Sprinter,Katie,Aku Sayang X Sprinter,2023-10-12,2023
7kQUdVjev73xIuwu7W6YW9,Welcome To Brixton,SR,Welcome To Brixton,2020-11-27,2020
6BxzdfrnQnxIPa4djYxCSz,Can't Give Up,Connor Price,Can't Give Up,2023-11-17,2023
30uCmqegKQnH5AbOE51gPD,Ghost,Confetti,Ghost,2019-10-18,2019
4dVpf9jZjcORqGTLUaeYj9,Plain Jane,A$AP Ferg,Still Striving,2017-08-18,2017
0hW02S9ACVYANz1ica10jH,Love Don't Cost A Dime (Re-Up),Magixx,Love Don't Cost A Dime (Re-Up),2022-02-09,2022
7floNISpH8VF4z4459Qo18,Look At Me!,XXXTENTACION,Look At Me!,2017-02-20,2017
2ZRo7axmMPeSVUvDbGkJah,Hope,XXXTENTACION,?,2018-03-16,2018
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,?,2018-03-16,2018
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott,UTOPIA,2023-07-28,2023
33LFIMKizfQaC2RFeYLQXw,Mockingbird - Remix,E1 (3x3),Mockingbird (Remix),2022-07-17,2022
6kENaG7kYPvFDVOoSrL2Mq,sdp interlude - TikTok Remix,Ren,sdp interlude (TikTok Remix),2023-10-11,2023
77eZIuMTB9HrQ86L4ljqEX,Baby Riddim,FAVE,Baby Riddim,2021-09-30,2021
6njJR3OIp3oA0Kc4aC9Tzf,MONTAGEM - PR FUNK,S3BZS,MONTAGEM - PR FUNK,2023-05-01,2023
0F4FejjWi3bf5vGOkuQwPS,On My Own,Darci,On My Own,2018-05-09,2018
6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,Heathens,2016-06-16,2016
3eKLbe124mzIRFPuwCnJAD,Blessed (with Tyga),Shenseea,ALPHA,2022-03-11,2022
6qk3jI8bKCgURI3h0d8zBZ,Again,Wande Coal,Realms,2020-09-10,2020
69Sy7207dnixZ6w7RSV9Kb,RISE,League of Legends,RISE,2018-09-28,2018
5gKd9hU9MvVF8ZWnt7OqwB,Fight Back,Konata Small,Fight Back,2021-06-25,2021
5NLnV0krXXSIOqL1PyAd1Q,RAHHHH,alt!,RAHHHH,2023-08-18,2023
210JJAa9nJOgNa0YNrsT5g,GODS,League of Legends,GODS,2023-10-04,2023
